 2018rank,City,State[c],2018estimate,2010Census,Change,2016  land  area,2016  population  density,Location , wiki_link,County,Settled,Incorporated,Type,Mayor,City,Land,Water,Elevation,Time  zone,Summer  (DST),Website,ZIP  Codes,Area  codes,Density 
 153,Eugene,Oregon,171245,156185,+9.64%,44.1sqmi;114.2km2,3777/sqmi;1458/km2,440324N  1230658W  /  44.0567N  123.1162W  /  44.0567;  -123.1162  (Eugene) ,https://en.wikipedia.org/wiki/Eugene_Oregon,Lane,, October  17  1862 ,Council-manager, Lucy  Vinis  (D) , 43.74sqmi  (113.29km2)156185 , 43.72sqmi  (113.23km2) , 0.02sqmi  (0.05km2) , 430ft  (131m) , UTC-8  (PST) , UTC-7  (PDT) ,www.eugene-or.gov,,, 3572.4/sqmi  (1379.3/km2) 
 154,Corona,California,168819,152374,+10.79%,39.5sqmi;102.3km2,4222/sqmi;1630/km2,335143N  1173356W  /  33.8620N  117.5655W  /  33.8620;  -117.5655  (Corona) ,https://en.wikipedia.org/wiki/Corona_California,Riverside,, July  13  1896[3] ,Council-manager[4], Jason  Scott[4] , 39.55sqmi  (102.45km2)152374 , 39.47sqmi  (102.23km2) , 0.08sqmi  (0.21km2)  0.27% ,, UTC-8  (Pacific) , UTC-7  (PDT) ,www.discovercorona.com,,, 4225.29/sqmi  (1631.41/km2) 
 155,Cary[v],North  Carolina,168160,135234,+24.35%,56.5sqmi;146.3km2,2873/sqmi;1109/km2,354651N  784848W  /  35.7809N  78.8133W  /  35.7809;  -78.8133  (Cary) ,https://en.wikipedia.org/wiki/Cary_North_Carolina,,, April  3  1871 ,, Harold  Weinbrecht  (D) ,, 58.33sqmi  (151.07km2) , 1.09sqmi  (2.82km2)  1.83% , 495ft  (151m) , UTC-5  (EST) , UTC-4  (EDT) ,www.townofcary.org,, 919  984 , 2300/sqmi  (880/km2) 
 156,Springfield,Missouri,168122,159498,+5.41%,82.3sqmi;213.2km2,2033/sqmi;785/km2,371139N  931729W  /  37.1942N  93.2913W  /  37.1942;  -93.2913  (Springfield) ,https://en.wikipedia.org/wiki/Springfield_Missouri,,,1838,Council-manager, Ken  McClure , 82.31sqmi  (213.18km2)159498 , 81.72sqmi  (211.65km2) , 0.59sqmi  (1.53km2) ,, UTC6  (CST) , UTC5  (CDT) ,www.springfieldmo.gov,,, 1900/sqmi  (750/km2) 
 157,Fort  Collins,Colorado,167830,143986,+16.56%,55.8sqmi;144.5km2,2943/sqmi;1136/km2,403254N  1050353W  /  40.5482N  105.0648W  /  40.5482;  -105.0648  (Fort  Collins) ,https://en.wikipedia.org/wiki/Fort_Collins_Colorado,Larimer,, February  12  1883[1] , Home  Rule  Municipality[2] , Wade  Troxell ,, 55.82sqmi  (144.58km2) , 1.23sqmi  (3.20km2)  1.27% , 5003ft  (1525m) , UTC7  (MST) , UTC6  (MDT) ,fcgov.com,,, 2941.67/sqmi  (1135.78/km2) 
 158,Jackson,Mississippi,164422,173514,5.24%,111.0sqmi;287.5km2,1524/sqmi;588/km2,321857N  901246W  /  32.3158N  90.2128W  /  32.3158;  -90.2128  (Jackson) ,https://en.wikipedia.org/wiki/Jackson_Mississippi,,,1821,MayorCouncil, Chokwe  Antar  Lumumba  (D) ,, 111.07sqmi  (287.66km2) , 2.17sqmi  (5.61km2) , 279ft  (85m) , UTC6  (CST) , UTC5  (CDT) ,www.jacksonms.gov,, 601  769 , 1503.28/sqmi  (580.42/km2) 
 159,Alexandria[m],Virginia,160530,139966,+14.69%,15.0sqmi;38.8km2,10387/sqmi;4010/km2,384912N  770503W  /  38.8201N  77.0841W  /  38.8201;  -77.0841  (Alexandria) ,https://en.wikipedia.org/wiki/Alexandria_Virginia, Independent  city ,,,Council-manager, Justin  Wilson  (D) ,, 14.93sqmi  (38.68km2) , 0.41sqmi  (1.07km2) , 39ft  (12m) , UTC-5  (EST) , UTC-4  (EDT) ,www.alexandriava.gov,,, 10716.15/sqmi  (4137.48/km2) 
 160,Hayward,California,159620,144186,+10.70%,45.5sqmi;117.8km2,3493/sqmi;1349/km2,373743N  1220609W  /  37.6287N  122.1024W  /  37.6287;  -122.1024  (Hayward) ,https://en.wikipedia.org/wiki/Hayward_California,Alameda,, March  11  1876[5] ,Council-Manager, Barbara  Halliday[6] , 63.82sqmi  (165.31km2)144186 , 45.54sqmi  (117.94km2) , 18.29sqmi  (47.36km2)  28.9% ,, UTC8  (Pacific) , UTC7  (PDT) ,www.hayward-ca.gov,,, 3490.21/sqmi  (1347.57/km2) 
 161,Lancaster,California,159053,156633,+1.55%,94.3sqmi;244.2km2,1698/sqmi;656/km2,344137N  1181031W  /  34.6936N  118.1753W  /  34.6936;  -118.1753  (Lancaster) ,https://en.wikipedia.org/wiki/Lancaster_California, Los  Angeles ,, November  22  1977[1] ,Council-manager[2], R.  Rex  Parris[3] ,, 94.30sqmi  (244.23km2) , 0.26sqmi  (0.68km2)  0.29% ,, UTC-8  (Pacific) , UTC-7  (PDT) ,www.cityoflancasterca.org,,, 1700.06/sqmi  (656.41/km2) 
 162,Lakewood,Colorado,156798,142980,+9.66%,42.9sqmi;111.1km2,3599/sqmi;1390/km2,394156N  1050703W  /  39.6989N  105.1176W  /  39.6989;  -105.1176  (Lakewood) ,https://en.wikipedia.org/wiki/Lakewood_Colorado, Jefferson  County[1] ,,1969[2], Home  Rule  Municipality[1] , Adam  Paul ,, 42.87sqmi  (111.04km2) , 1.18sqmi  (3.06km2) ,, UTC-7  (MST) , UTC-6  (MDT) , City  of  Lakewood ,,, 3601.25/sqmi  (1390.44/km2) 
 163,Clarksville,Tennessee,156794,132929,+17.95%,98.3sqmi;254.6km2,1529/sqmi;590/km2,363359N  872043W  /  36.5664N  87.3452W  /  36.5664;  -87.3452  (Clarksville) ,https://en.wikipedia.org/wiki/Clarksville_Tennessee,Montgomery,,,, Joe  Pitts ,, 94.9sqmi  (245.7km2) , 0.7sqmi  (1.8km2) , 476ft  (145m) , UTC6  (CST) , UTC5  (CDT) ,cityofclarksville.com,,,
 164,Palmdale,California,156667,152750,+2.56%,106.0sqmi;274.5km2,1484/sqmi;573/km2,343528N  1180619W  /  34.5910N  118.1054W  /  34.5910;  -118.1054  (Palmdale) ,https://en.wikipedia.org/wiki/Palmdale_California, Los  Angeles ,, August  24  1962[1] ,Council-manager[2],, 106.21sqmi  (275.09km2)152750 , 105.97sqmi  (274.45km2) , 0.24sqmi  (0.63km2)  0.24% ,, UTC8  (Pacific  Time  Zone) , UTC7  (PDT) ,www.cityofpalmdale.org,,, 1486.45/sqmi  (573.94/km2) 
 165,Salinas,California,156259,150441,+3.87%,23.6sqmi;61.1km2,6662/sqmi;2572/km2,364125N  1213801W  /  36.6902N  121.6337W  /  36.6902;  -121.6337  (Salinas) ,https://en.wikipedia.org/wiki/Salinas_California,Monterey,, March  4  1874[3] ,Council-Manager, Joe  Gunter[4] , 23.65sqmi  (61.25km2)150441 , 23.61sqmi  (61.15km2) , 0.04sqmi  (0.10km2)  0.16% ,, UTC8  (Pacific) , UTC7  (PDT) ,www.cityofsalinas.org, 9390193902  9390593907  93912  and  93915 ,, 6658.96/sqmi  (2570.99/km2) 
 166,Springfield,Massachusetts,155032,153060,+1.29%,31.9sqmi;82.6km2,4830/sqmi;1860/km2,420656N  723224W  /  42.1155N  72.5400W  /  42.1155;  -72.5400  (Springfield) ,https://en.wikipedia.org/wiki/Springfield_Massachusetts,Hampden,,, Mayor-council  city , Domenic  Sarno  (D) , 33.1sqmi  (85.7km2)153060 , 31.9sqmi  (82.5km2) , 1.2sqmi  (3.1km2) , 70ft  (21m) , UTC5  (Eastern) , UTC4  (Eastern) ,www.springfield-ma.gov, 01101  0110301105  0110701109  01118-01119  0112801129  01151 ,, 4803/sqmi  (1854.6/km2) 
 167,Hollywood,Florida,154823,140768,+9.98%,27.3sqmi;70.7km2,5568/sqmi;2150/km2,260152N  800953W  /  26.0310N  80.1646W  /  26.0310;  -80.1646  (Hollywood) ,https://en.wikipedia.org/wiki/Hollywood_Florida,,,,,,,,,,,,,,,
 168,Pasadena,Texas,153219,149043,+2.80%,43.5sqmi;112.7km2,3525/sqmi;1361/km2,293931N  950902W  /  29.6586N  95.1506W  /  29.6586;  -95.1506  (Pasadena) ,https://en.wikipedia.org/wiki/Pasadena_Texas,Harris,, December  22  1923  and  December  26  1928 ,Mayor-Council, Jeff  Wagner , 44.5sqmi  (115.3km2)149043 , 44.2sqmi  (114.4km2) , 0.4sqmi  (0.9km2) , 30ft  (9.1m) , UTC6  (CST) , UTC5  (CDT) ,ci.pasadena.tx.us,,, 3208/sqmi  (1238.7/km2) 
 169,Sunnyvale,California,153185,140081,+9.35%,22.0sqmi;57.0km2,6944/sqmi;2681/km2,372309N  1220135W  /  37.3858N  122.0263W  /  37.3858;  -122.0263  (Sunnyvale) ,https://en.wikipedia.org/wiki/Sunnyvale_California, Santa  Clara ,, December  24  1912[1] ,Council-manager[2], Larry  Klein[2] ,, 21.98sqmi  (56.94km2) , 0.70sqmi  (1.82km2)  3.09% ,, UTC8  (PST) , UTC7  (PDT) ,sunnyvale.ca.gov,, 408/669  and  650 , 6949.51/sqmi  (2683.18/km2) 
 170,Macon[w],Georgia,153095,91351,+67.59%,249.3sqmi;645.7km2,612/sqmi;236/km2,324832N  834139W  /  32.8088N  83.6942W  /  32.8088;  -83.6942  (Macon) ,https://en.wikipedia.org/wiki/Macon_Georgia,Bibb,,,, Robert  Reichert  (D) ,, 647km2  (249.96sqmi) , 3.2km2  (0.5sqmi) , 116m  (381ft) , UTC5  (EST) , UTC4  (EDT) ,maconbibb.us,3120031299,,
 171,Kansas  City[x],Kansas,152958,145786,+4.92%,124.8sqmi;323.2km2,1216/sqmi;470/km2,390721N  944430W  /  39.1225N  94.7418W  /  39.1225;  -94.7418  (Kansas  City) ,https://en.wikipedia.org/wiki/Kansas_City_Kansas,Wyandotte,, 1872  1886 ,, David  Alvey ,, 124.81sqmi  (323.26km2) , 3.57sqmi  (9.25km2) ,, UTC6  (CST) , UTC5  (CDT) ,wycokck.org,,, 1100/sqmi  (440/km2) 
 172,Pomona,California,152361,149058,+2.22%,23.0sqmi;59.6km2,6630/sqmi;2560/km2,340331N  1174540W  /  34.0585N  117.7611W  /  34.0585;  -117.7611  (Pomona) ,https://en.wikipedia.org/wiki/Pomona_California, Los  Angeles ,1830s[2], January  6  1888[2] ,Council-Manager,,, 22.95sqmi  (59.45km2) , 0.01sqmi  (0.03km2)  0.05% ,, UTC8  (Pacific) , UTC7  (PDT) ,www.ci.pomona.ca.us,,, 6643.75/sqmi  (2565.22/km2) 
 173,Escondido,California,152213,143911,+5.77%,37.1sqmi;96.1km2,4087/sqmi;1578/km2,330759N  1170426W  /  33.1331N  117.0740W  /  33.1331;  -117.0740  (Escondido) ,https://en.wikipedia.org/wiki/Escondido_California, San  Diego ,,October81888[1],Council-Manager, Paul  McNamara  (D)  [2] ,, 37.07sqmi  (96.01km2) , 0.18sqmi  (0.46km2)  0.48% ,, UTC8  (Pacific) , UTC7  (PDT) ,www.escondido.org,,442/760, 4089.91/sqmi  (1579.14/km2) 
 174,Killeen,Texas,149103,127921,+16.56%,53.5sqmi;138.6km2,2680/sqmi;1030/km2,310440N  974355W  /  31.0777N  97.7320W  /  31.0777;  -97.7320  (Killeen) ,https://en.wikipedia.org/wiki/Killeen_Texas,Bell,,,Council-Manager,,, 53.6sqmi  (138.8km2) , 0.7sqmi  (1.7km2) , 890ft  (270m) , UTC-6  (Central  (CST)) , UTC-5  (CDT) ,www.killeentexas.gov,,, 2400/sqmi  (910/km2) 
 175,Naperville,Illinois,148304,141853,+4.55%,38.7sqmi;100.2km2,3802/sqmi;1468/km2,414457N  880943W  /  41.7492N  88.1620W  /  41.7492;  -88.1620  (Naperville) ,https://en.wikipedia.org/wiki/Naperville_Illinois,,,,,,,,,,,,,,,
 176,Joliet,Illinois,148099,147433,+0.45%,64.4sqmi;166.8km2,2302/sqmi;889/km2,413104N  880856W  /  41.5177N  88.1488W  /  41.5177;  -88.1488  (Joliet) ,https://en.wikipedia.org/wiki/Joliet_Illinois,,1833,1852,Council-manager, Bob  O'Dekirk  (R) ,, 64.43sqmi  (166.88km2) , 0.66sqmi  (1.72km2) , 614ft  (187m) , UTC-6  (CST) , UTC-5  (CDT) ,www.cityofjoliet.info,, 815  779 , 2301.10/sqmi  (888.45/km2) 
 177,Bellevue,Washington,147599,122363,+20.62%,33.5sqmi;86.8km2,4221/sqmi;1630/km2,473552N  1220923W  /  47.5979N  122.1565W  /  47.5979;  -122.1565  (Bellevue) ,https://en.wikipedia.org/wiki/Bellevue_Washington,King,, March  21  1953 ,, John  Chelminiak , 33.71sqmi  (87.31km2)122363 , 33.46sqmi  (86.66km2) , 0.25sqmi  (0.65km2) , 85ft  (26m) , UTC8  (PST) , UTC7  (PDT) ,www.bellevuewa.gov,98004-98009,, 4316.79/sqmi  (1666.72/km2) 
 178,Rockford,Illinois,146526,152871,4.15%,63.5sqmi;164.5km2,2325/sqmi;898/km2,421532N  890353W  /  42.2588N  89.0646W  /  42.2588;  -89.0646  (Rockford) ,https://en.wikipedia.org/wiki/Rockford_Illinois, Winnebago  Ogle ,, 1839  (as  a  town)  1852  (as  a  city)[1] ,, Thomas  McNamara  (D) , 64.48sqmi  (167.01km2)152871 , 63.47sqmi  (164.38km2) , 1.01sqmi  (2.63km2) , 728ft  (222m) , UTC6  (CST) , UTC5  (CDT) ,rockfordil.gov,,, 2326.35/sqmi  (898.21/km2) 
 179,Savannah,Georgia,145862,136286,+7.03%,103.6sqmi;268.3km2,1417/sqmi;547/km2,320009N  810913W  /  32.0025N  81.1536W  /  32.0025;  -81.1536  (Savannah) ,https://en.wikipedia.org/wiki/Savannah_Georgia,Chatham,,,, Eddie  DeLoach  (R) , 108.7sqmi  (281.5km2)136286 , 103.1sqmi  (267.1km2) , 5.6sqmi  (14.4km2) , 49ft  (15m) , UTC5  (EST) , UTC4  (EDT) ,savannahga.gov,,, 1321/sqmi  (510.1/km2) 
 180,Paterson,New  Jersey,145627,146199,0.39%,8.4sqmi;21.8km2,17500/sqmi;6800/km2,405453N  740946W  /  40.9148N  74.1628W  /  40.9148;  -74.1628  (Paterson) ,https://en.wikipedia.org/wiki/Paterson_New_Jersey,Passaic,, April  11  1831  (as  township) , Faulkner  Act  Mayor-Council , Andre  Sayegh ,, 8.428sqmi  (21.829km2) , 0.276sqmi  (0.715km2)  3.17% ,, UTC5  (Eastern  (EST)) , UTC4  (Eastern  (EDT)) ,www.patersonnj.gov,,, 17346.3/sqmi  (6697.4/km2) 
 181,Torrance,California,145182,145438,0.18%,20.5sqmi;53.1km2,7180/sqmi;2770/km2,335006N  1182029W  /  33.8350N  118.3414W  /  33.8350;  -118.3414  (Torrance) ,https://en.wikipedia.org/wiki/Torrance_California, Los  Angeles ,, May  12  1921[1] ,Council-manager[2],,, 20.48sqmi  (53.04km2) , 0.07sqmi  (0.19km2)  0.37% ,, UTC8  (Pacific) , UTC7  (PDT) ,www.torranceca.gov,9050190510,310/424, 7187.96/sqmi  (2775.25/km2) 
 182,Bridgeport,Connecticut,144900,144229,+0.47%,16.1sqmi;41.7km2,9064/sqmi;3500/km2,411115N  731145W  /  41.1874N  73.1958W  /  41.1874;  -73.1958  (Bridgeport) ,https://en.wikipedia.org/wiki/Bridgeport_Connecticut,Fairfield,,,Mayor-council, Joe  Ganim  (D) , 19.4sqmi  (50.2km2)144229 , 16.0sqmi  (41.4km2) , 3.4sqmi  (8.8km2) , 3ft  (1m) , UTC-5  (Eastern) , UTC-4  (Eastern) , City  of  Bridgeport ,,, 8720.9/sqmi  (3354/km2) 
 183,McAllen,Texas,143433,129877,+10.44%,58.4sqmi;151.3km2,2435/sqmi;940/km2,261356N  981447W  /  26.2322N  98.2464W  /  26.2322;  -98.2464  (McAllen) ,https://en.wikipedia.org/wiki/McAllen_Texas,Hidalgo,,,Council-Manager,, 48.6sqmi  (126.0km2)142696  (US:  185th) , 48.3sqmi  (125.2km2) , 0.3sqmi  (0.8km2) , 121.4ft  (37.1m) , UTC6  (CST) , UTC5  (CDT) ,www.mcallen.net,,, 2994/sqmi  (1155.8/km2) 
 184,Mesquite,Texas,142816,139824,+2.14%,47.2sqmi;122.2km2,3045/sqmi;1176/km2,324546N  963520W  /  32.7629N  96.5888W  /  32.7629;  -96.5888  (Mesquite) ,https://en.wikipedia.org/wiki/Mesquite_Texas,,,,Council-Manager,,, 46.0sqmi  (119.2km2) , 0.20sqmi  (0.52km2) , 495ft  (151m) , UTC-6  (CST) , UTC-5  (CDT) ,cityofmesquite.com,,, 3128/sqmi  (1207.7/km2) 
 185,Syracuse,New  York,142749,145170,1.67%,25.0sqmi;64.7km2,5735/sqmi;2214/km2,430228N  760837W  /  43.0410N  76.1436W  /  43.0410;  -76.1436  (Syracuse) ,https://en.wikipedia.org/wiki/Syracuse_New_York,Onondaga,, 1825  (village)1847  (city) ,Mayor-Council, Ben  Walsh  (I) , 25.61sqmi  (66.33km2)145170 , 25.05sqmi  (64.87km2) , 0.56sqmi  (1.46km2)  2.15% , 380ft  (116m) , UTC5  (Eastern) , UTC4  (Eastern  Daylight  Time) ,www.syrgov.net,, 315  680 , 5724.82/sqmi  (2210.33/km2) 
 186,Midland,Texas,142344,111147,+28.07%,74.4sqmi;192.7km2,1809/sqmi;698/km2,320129N  1020649W  /  32.0246N  102.1135W  /  32.0246;  -102.1135  (Midland) ,https://en.wikipedia.org/wiki/Midland_Texas,,,,Council-Manager, Jerry  Morales[1] , 71.5sqmi  (185.2km2)132950  (US:  196th) , 71.3sqmi  (184.7km2) , 0.2sqmi  (0.5km2) , 2782ft  (848m) , UTC6  (CST) , UTC5  (CDT) ,midlandtexas.gov,,, 1558.9/sqmi  (601.8/km2) 
 187,Pasadena,California,141371,137122,+3.10%,23.0sqmi;59.6km2,6176/sqmi;2385/km2,340938N  1180823W  /  34.1606N  118.1396W  /  34.1606;  -118.1396  (Pasadena) ,https://en.wikipedia.org/wiki/Pasadena_California, Los  Angeles ,, June  19  1886[2] , City  council/manager , Terry  Tornek[3] ,, 22.98sqmi  (59.52km2) , 0.15sqmi  (0.38km2)  0.68% ,, UTC8  (Pacific) , UTC7  (PDT) ,www.cityofpasadena.net,, 323  626 , 6181.05/sqmi  (2386.56/km2) 
 188,Murfreesboro,Tennessee,141344,108755,+29.97%,55.9sqmi;144.8km2,2360/sqmi;910/km2,355108N  862458W  /  35.8522N  86.4160W  /  35.8522;  -86.4160  (Murfreesboro) ,https://en.wikipedia.org/wiki/Murfreesboro_Tennessee,Rutherford,1811,1817,CouncilManager[1], Shane  McFarland  (R)[2] , 58.47sqmi  (151.43km2)108755 , 58.32sqmi  (151.06km2) , 0.15sqmi  (0.37km2)  0.25% , 610ft  (186m) , UTC6  (CST) , UTC5  (CDT) , City  of  Murfreesboro ,37127-37133,, 1900/sqmi  (720/km2) 
 189,Miramar,Florida,140823,122041,+15.39%,29.4sqmi;76.1km2,4709/sqmi;1818/km2,255837N  802009W  /  25.9770N  80.3358W  /  25.9770;  -80.3358  (Miramar) ,https://en.wikipedia.org/wiki/Miramar_Florida,Broward,, May  26  1955 ,Commission-Manager, Wayne  M.  Messam , 31.28sqmi  (81.01km2)122041 , 29.38sqmi  (76.10km2) , 1.90sqmi  (4.92km2)  5.66% , 9ft  (2m) , UTC-5  (EST) , UTC-4  (EDT) ,www.miramarfl.gov,,, 4712.36/sqmi  (1819.42/km2) 
 190,Dayton,Ohio,140640,141527,0.63%,55.7sqmi;144.3km2,2522/sqmi;974/km2,394639N  841159W  /  39.7774N  84.1996W  /  39.7774;  -84.1996  (Dayton) ,https://en.wikipedia.org/wiki/Dayton_Ohio,Montgomery,,,, Nan  Whaley  (D) , 56.50sqmi  (146.33km2)141759 , 55.65sqmi  (144.13km2) , 0.85sqmi  (2.20km2) , 738ft  (225m) , UTC-5  (EST) , UTC-4  (EDT) ,daytonohio.gov,,, 2543.2/sqmi  (981.9/km2) 
 191,Fullerton,California,139640,135161,+3.31%,22.4sqmi;58.0km2,6282/sqmi;2425/km2,335309N  1175541W  /  33.8857N  117.9280W  /  33.8857;  -117.9280  (Fullerton) ,https://en.wikipedia.org/wiki/Fullerton_California,Orange,, February  15  1904[2] ,Council-Manager,,, 22.43sqmi  (58.10km2) , 0.01sqmi  (0.03km2)  0.05% ,, UTC-8  (PST) , UTC-7  (PDT) ,www.ci.fullerton.ca.us,, 562  657/714 , 6272.95/sqmi  (2422.01/km2) 
 192,Olathe,Kansas,139605,125872,+10.91%,60.9sqmi;157.7km2,2225/sqmi;859/km2,385303N  944910W  /  38.8843N  94.8195W  /  38.8843;  -94.8195  (Olathe) ,https://en.wikipedia.org/wiki/Olathe_Kansas,Johnson,, 1857  1868  [1] ,MayorCouncil, Michael  Copeland ,, 59.66sqmi  (154.52km2) , 0.76sqmi  (1.97km2)  1.26% , 1037ft  (316m) , UTC-6  (CST) , UTC-5  (CDT) ,olatheks.org,,, 2100/sqmi  (800/km2) 
 193,Orange,California,139484,136416,+2.25%,25.4sqmi;65.8km2,5532/sqmi;2136/km2,334713N  1175141W  /  33.7870N  117.8613W  /  33.7870;  -117.8613  (Orange) ,https://en.wikipedia.org/wiki/Orange_California,Orange,, April  6  1888[1] ,CouncilManager,,, 25.36sqmi  (65.68km2) , 0.44sqmi  (1.13km2)  1.75% ,, UTC08:00  (Pacific) , UTC07:00  (PDT) ,cityoforange.org,9285692869,657/714, 5542.59/sqmi  (2140.07/km2) 
 194,Thornton,Colorado,139436,118772,+17.40%,35.7sqmi;92.5km2,3829/sqmi;1478/km2,395510N  1045634W  /  39.9194N  104.9428W  /  39.9194;  -104.9428  (Thornton) ,https://en.wikipedia.org/wiki/Thornton_Colorado,,, June  12  1956[2] , Home  rule  municipality[1] , Heidi  K.  Williams  (Since  2011) ,, 35.81sqmi  (92.75km2) , 1.07sqmi  (2.77km2) ,, UTC7  (MST) , UTC6  (MDT) , City  of  Thornton ,,, 3817.24/sqmi  (1473.85/km2) 
 195,Roseville,California,139117,118788,+17.11%,43.0sqmi;111.4km2,3085/sqmi;1191/km2,384608N  1211908W  /  38.7690N  121.3189W  /  38.7690;  -121.3189  (Roseville) ,https://en.wikipedia.org/wiki/Roseville_California,Placer,, April  10  1909[1] ,Council-manager[2], Susan  Rohan[2] ,, 42.99sqmi  (111.34km2) , 0.00sqmi  (0.00km2)  0% ,, UTC8  (Pacific) , UTC7  (PDT) ,www.roseville.ca.us,,, 3086.23/sqmi  (1191.61/km2) 
 196,Denton,Texas,138541,113383,+22.19%,93.4sqmi;241.9km2,1433/sqmi;553/km2,331300N  970829W  /  33.2166N  97.1414W  /  33.2166;  -97.1414  (Denton) ,https://en.wikipedia.org/wiki/Denton_Texas,Denton,,1866,Councilmanager,,, 87.952sqmi  (227.79km2) , 1.364sqmi  (3.53km2)  1.527[4]% , 642ft  (195m) , UTC-6  (CST) , UTC-5  (CST) , City  of  Denton ,,, 1289.1/sqmi  (497.7/km2) 
 197,Waco,Texas,138183,124805,+10.72%,89.0sqmi;230.5km2,1510/sqmi;580/km2,313336N  971110W  /  31.5601N  97.1860W  /  31.5601;  -97.1860  (Waco) ,https://en.wikipedia.org/wiki/Waco_Texas,McLennan,,,Council-manager,, 95.5sqmi  (247.4km2)138183  (US:  197th) , 84.2sqmi  (218.1km2) , 11.3sqmi  (29.3km2)  11.85% , 470ft  (143.3m) , UTC6  (Central) , UTC5  (Central) ,Waco-Texas.com,,, 1350/sqmi  (521.5/km2) 
 198,Surprise,Arizona,138161,117517,+17.57%,107.9sqmi;279.5km2,1230/sqmi;470/km2,334014N  1122710W  /  33.6706N  112.4527W  /  33.6706;  -112.4527  (Surprise) ,https://en.wikipedia.org/wiki/Surprise_Arizona,Maricopa,,,, Skip  Hall , 107.97sqmi  (279.63km2)117517  (US:  202nd) , 107.85sqmi  (279.33km2) , 0.11sqmi  (0.30km2) , 1175ft  (358m) , UTC-7  (MST  (no  DST)) ,,http://www.surpriseaz.gov,,, 1230.19/sqmi  (474.98/km2) 
 199,Carrollton,Texas,136879,119097,+14.93%,36.3sqmi;94.0km2,3674/sqmi;1419/km2,325918N  965359W  /  32.9884N  96.8998W  /  32.9884;  -96.8998  (Carrollton) ,https://en.wikipedia.org/wiki/Carrollton_Texas,,,,Council-Manager, Kevin  Falconer , 37.1sqmi  (96.1km2)133168  (US:  201st) , 36.3sqmi  (94.0km2) , 0.8sqmi  (2.1km2)  2.19% , 528ft  (161m) , UTC-6  (Central) , UTC-5  (Central) ,http://www.cityofcarrollton.com,,,
 200,West  Valley  City,Utah,136401,129480,+5.35%,35.5sqmi;91.9km2,3847/sqmi;1485/km2,404119N  1120042W  /  40.6885N  112.0118W  /  40.6885;  -112.0118  (West  Valley  City) ,https://en.wikipedia.org/wiki/West_Valley_City_Utah,,,,,,,,,,,,,,,
 201,Charleston,South  Carolina,136208,120083,+13.43%,109.0sqmi;282.3km2,1233/sqmi;476/km2,324904N  795732W  /  32.8179N  79.9590W  /  32.8179;  -79.9590  (Charleston) ,https://en.wikipedia.org/wiki/Charleston_South_Carolina,,,,Mayorcouncil, John  Tecklenburg  (D) , 127.5sqmi  (330.2km2)120083 , 109.0sqmi  (282.3km2) , 18.5sqmi  (47.9km2)  14.51% , 20ft  (6m) , UTC-5  (EST) , UTC-4  (EDT) ,www.charleston-sc.gov,,, 1152/sqmi  (444.9/km2) 
 202,Warren,Michigan,134587,134056,+0.40%,34.4sqmi;89.1km2,3928/sqmi;1517/km2,422934N  830130W  /  42.4929N  83.0250W  /  42.4929;  -83.0250  (Warren) ,https://en.wikipedia.org/wiki/Warren_Michigan,Macomb,1830, 1893  (village)1957  (city) , Strong  mayor , James  R.  Fouts  (I)[1] ,, 34.36sqmi  (88.99km2) , 0.07sqmi  (0.19km2) , 627ft  (191m) , UTC-5  (Eastern  (EST)) , UTC-4  (EDT) , Official  website ,,, 3929.63/sqmi  (1517.24/km2) 
 203,Hampton[m],Virginia,134313,137436,2.27%,51.5sqmi;133.4km2,2629/sqmi;1015/km2,370253N  761750W  /  37.0480N  76.2971W  /  37.0480;  -76.2971  (Hampton) ,https://en.wikipedia.org/wiki/Hampton_Virginia, None  (Independent  city) ,1610[1],,, Donnie  Tuck  (D)  [2] ,, 51.41sqmi  (133.14km2) , 84.85sqmi  (219.76km2)  62.3% , 10ft  (3m) , UTC-5  (EST) , UTC-4  (EDT) ,http://www.hampton.gov,,, 2619.71/sqmi  (1011.48/km2) 
 204,Gainesville,Florida,133857,124354,+7.64%,62.3sqmi;161.4km2,2112/sqmi;815/km2,294044N  822046W  /  29.6788N  82.3461W  /  29.6788;  -82.3461  (Gainesville) ,https://en.wikipedia.org/wiki/Gainesville_Florida,Alachua,1854, April  14  1869 ,Council-manager, Lauren  Poe  (D) , 63.49sqmi  (164.43km2)124354 , 62.32sqmi  (161.41km2) , 1.17sqmi  (3.02km2)  1.74% ,, UTC5  (EST) , UTC4  (EDT) ,www.cityofgainesville.org,,, 2111.50/sqmi  (815.25/km2) 
 205,Visalia,California,133800,124442,+7.52%,37.5sqmi;97.1km2,3495/sqmi;1349/km2,361938N  1191944W  /  36.3273N  119.3289W  /  36.3273;  -119.3289  (Visalia) ,https://en.wikipedia.org/wiki/Visalia_California,Tulare,, February  27  1874[1] ,Council-Manager,,, 37.47sqmi  (97.06km2) , 0.02sqmi  (0.05km2)  0.05% ,, UTC-8  (PST) , UTC-7  (PDT) ,www.ci.visalia.ca.us,,, 3497.73/sqmi  (1350.48/km2) 
